product,rating,rating count,price,product url
New Balance Women's Fresh Foam X70 V1 Sneaker  ,4.7 out of 5 stars,"1,503  ",82.88,https://amazon.com/New-Balance-Womens-Sneaker-Norway/dp/B099T8MTBJ/ref=sr_1_51?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-51
Sperry Men's Leeward 2-Eye Boat Shoe  ,4.5 out of 5 stars,"2,201  ",59.99,https://amazon.com/Sperry-Mens-Leeward-Boat-Sahara/dp/B0059DLFLQ/ref=sr_1_52?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-52
Sperry Women's Lounge Away Sneaker  ,4.6 out of 5 stars,"3,847  ",47.05,https://amazon.com/Sperry-Womens-Lounge-Sneaker-Medium/dp/B01N5KW2OM/ref=sr_1_54?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-54
PUMA Women's Riaze Prowl Sneaker  ,4.5 out of 5 stars,"5,363  ",82.23,https://amazon.com/PUMA-womens-Running-Black-ignite-Pink-aquamarine/dp/B08CS3B2QG/ref=sr_1_55?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-55
Amazon Essentials Women's Casual Slip-On Canvas Flat  ,4.0 out of 5 stars,922  ,21.6,https://amazon.com/Amazon-Essentials-Womens-Casual-Sneaker/dp/B082QFN4CS/ref=sr_1_57?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-57
FLYFUPPY Women's Slip-on Canvas Comfort Fashion Sneakers Low Top Classic Lace up Walking Shoes  ,4.5 out of 5 stars,18  ,32.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04360241C6VXLME28UF8&url=%2FFLYFUPPY-Comfort-Fashion-Sneakers-Black%2Fdp%2FB09KXWDH2Z%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-58-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_btf
Joomra Pillow Slippers for Women and Men Non Slip Quick Drying Shower Slides Bathroom Sandals | Ultra Cushion | Thick Sole  ,4.4 out of 5 stars,"16,406  ",19.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07290161VV5PV6VYWX59&url=%2FJoomra-Slippers-Massage-Cushion-Bathroom%2Fdp%2FB0965322N2%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-59-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_btf
TSIODFO Mens Running Shoes Athletic Walking Sneakers  ,4.2 out of 5 stars,"2,293  ",39.9,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A043426520UKS0LS6NFJV&url=%2FSneakers-Fashion-Running-Athletic-Trainers%2Fdp%2FB091JYT196%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-60-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_btf
Chopben Men's Walking Shoes Lightweight Breathable Running Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Trainers  ,4.7 out of 5 stars,27  ,23.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04626761MI9VJ43HTYQ6&url=%2FChopben-Lightweight-Breathable-Athletic-Sneakers%2Fdp%2FB0B7K16S48%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dshoes%26qid%3D1664552789%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-49-spons%26psc%3D1&qualifier=1664552789&id=849788345832719&widgetName=sp_atf_next
Rockport Men's Eureka Walking Shoe  ,4.4 out of 5 stars,"20,477  ",51.01,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08835122URSHWJXIBU49&url=%2FRockport-Mens-Eureka-Walking-Brown%2Fdp%2FB000W922KA%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dshoes%26qid%3D1664552789%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-50-spons%26psc%3D1&qualifier=1664552789&id=849788345832719&widgetName=sp_atf_next
Yibobay Diabetic Shoes for Man Width X-Wide Shoe for Elderly Man Wide Shoes for Man Walking Shoes Adjustable Closure  ,4.4 out of 5 stars,249  ,61.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03005493NDSJWX532JAM&url=%2FYibobay-Diabetic-Elderly-Walking-Adjustable%2Fdp%2FB096LHCZS8%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dshoes%26qid%3D1664552789%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-51-spons%26psc%3D1&qualifier=1664552789&id=849788345832719&widgetName=sp_atf_next
Men's Running Shoes Blade Tennis Walking Fashion Sneakers Breathable Non Slip Gym Sports Work Trainers  ,4.2 out of 5 stars,"1,400  ",38.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06877602C9DN9WF2XLY4&url=%2FRunning-Walking-Sneakers-Breathable-Trainers%2Fdp%2FB092MDY7MR%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dshoes%26qid%3D1664552789%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-52-spons%26psc%3D1&qualifier=1664552789&id=849788345832719&widgetName=sp_atf_next
Skechers Women's Easy Going-Latte-Twin Gore Slip-on Open Back Mule  ,4.6 out of 5 stars,"4,666  ",51.99,https://amazon.com/Skechers-Womens-Easy-Going-Latte-Twin-Slip/dp/B07BCFBN2M/ref=sr_1_53?keywords=shoes&qid=1664552789&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-53
PUMA Women's Riaze Prowl Running Shoe  ,3.9 out of 5 stars,484  ,47.48,https://amazon.com/Riaze-Prowl-Womens-Running-Silver-White-II/dp/B09XVM5YKR/ref=sr_1_55?keywords=shoes&qid=1664552789&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-55
